Date,Team,Acquired,Relinquished,Notes
2011-01-15,Cavaliers,,Daniel Gibson,Ankle
2011-01-15,Cavaliers,,Joey Graham,Quadriceps
2011-01-15,Grizzlies,,Tony Allen,Knee
2011-01-15,Nets,,Anthony Morrow,Hamstring
2011-01-15,Raptors,,Jerryd Bayless,Ankle
2011-01-15,Raptors,,Leandro Barbosa,Hamstring
2011-01-16,Spurs,,Matt Bonner,Knee
2011-01-17,Blazers,,Brandon Roy,Knees
2011-01-17,Bucks,,Brandon Jennings,Foot
2011-01-17,Bulls,,Carlos Boozer,Ankle
2011-01-17,Celtics,,Jermaine O'Neal,Knee
2011-01-17,Grizzlies,,Tony Allen,Knee
2011-01-17,Nets,,Anthony Morrow,Hamstring
2011-01-17,Raptors,,Jerryd Bayless,Ankle
2011-01-17,Raptors,,Leandro Barbosa,Hamstring
2011-01-17,Raptors,,Linas Kleiza,Knee
2011-01-17,Rockets,,Patrick Patterson,Respiratory
2011-01-18,Bulls,,Carlos Boozer,Ankle
2011-01-19,Bucks,,Brandon Jennings,Foot
2011-01-19,Bucks,,John Salmons,Hip
2011-01-19,Celtics,,Jermaine O'Neal,Knee
2011-01-19,Grizzlies,,Tony Allen,Knee
2011-01-19,Raptors,,Leandro Barbosa,Hamstring
2011-01-20,Bulls,,Carlos Boozer,Ankle
2011-01-20,Blazers,,Marcus Camby,Knee
2011-01-20,Blazers,,Marcus Camby,Knee
2011-01-21,Bucks,,John Salmons,Hip
2011-01-21,Celtics,,Jermaine O'Neal,Knee
2011-01-21,Celtics,,Shaquille O'Neal,Hip
2011-01-21,Hornets,,Trevor Ariza,"Ankle
Knee"
2011-01-21,Pistons,,Charlie Villanueva,Ankle
2011-01-21,Raptors,,Joey Dorsey,Knee
2011-01-21,Raptors,,Leandro Barbosa,Hamstring
2011-01-21,Spurs,,George Hill,Thumb
2011-01-21,Wizards,,Kirk Hinrich,Elbow
2011-01-22,Blazers,,Marcus Camby,Knee
2011-01-22,Bucks,,Drew Gooden,Foot
2011-01-22,Bucks,,John Salmons,Hip
2011-01-22,Cavaliers,,Anthony Parker,Lower back
2011-01-22,Celtics,,Jermaine O'Neal,Knee
2011-01-22,Celtics,,Shaquille O'Neal,Knee
2011-01-22,Heat,,Dwyane Wade,Head
2011-01-22,Hornets,,Trevor Ariza,Knee
2011-01-22,Magic,,Jason Williams,Foot
2011-01-22,Raptors,,Joey Dorsey,Patella
2011-01-22,Raptors,,Leandro Barbosa,Hamstring
2011-01-22,Raptors,,Linas Kleiza,Knee
2011-01-22,Spurs,,George Hill,Thumb
2011-01-24,Bucks,,John Salmons,Hip
2011-01-24,Cavaliers,,Anthony Parker,Lower back
2011-01-24,Raptors,,Joey Dorsey,Patella
2011-01-24,Raptors,,Jose Calderon,Ankle
2011-01-24,Raptors,,Linas Kleiza,Knee
2011-01-25,Celtics,,Shaquille O'Neal,Leg
2011-01-25,Clippers,,Eric Gordon,Wrist
2011-01-26,Bucks,,John Salmons,Hip
2011-01-26,Clippers,,Eric Gordon,Wrist
2011-01-26,Nuggets,,Kenyon Martin,Knee
2011-01-27,Celtics,,Shaquille O'Neal,Hip
2011-01-28,Bucks,,John Salmons,Hip
2011-01-28,Heat,,Dwyane Wade,Wrist
2011-01-28,Jazz,,Deron Williams,Wrist
2011-01-28,Jazz,,Mehmet Okur,Back
2011-01-28,Nets,,Jordan Farmar,Lower back
2011-01-28,Pistons,,Rodney Stuckey,Shoulder
2011-01-28,Wizards,,Kirk Hinrich,Ankle
2011-01-29,Bucks,,John Salmons,Hip
2011-01-29,Nets,,Jordan Farmar,Lower back
2011-01-29,Wizards,,Mustafa Shakur,Leg
2011-01-30,Jazz,,Deron Williams,Wrist
2011-01-30,Knicks,,Wilson Chandler,Calf
2011-01-30,Magic,,Gilbert Arenas,Knee
2011-01-30,Pistons,,Rodney Stuckey,Shoulder
2011-01-30,Suns,,Gani Lawal,Knee
2011-01-31,Cavaliers,,Daniel Gibson,Quadriceps
2011-01-31,Clippers,,Eric Gordon,Wrist
2011-01-31,Jazz,,Deron Williams,Wrist
2011-01-31,Magic,,J.J. Redick,Shoulder
2011-01-31,Nets,,Jordan Farmar,Lower back
2011-02-01,Kings,,Jason Thompson,Ankle
2011-02-01,Lakers,,Andrew Bynum,Knee
2011-02-02,Bucks,,Keyon Dooling,Ankle
2011-02-02,Bucks,,Larry Sanders ,Ankle
2011-02-02,Cavaliers,,Daniel Gibson,Quadriceps
2011-02-02,Clippers,,Eric Gordon,Wrist
2011-02-02,Jazz,,Andrei Kirilenko,Ankle
2011-02-02,Jazz,,Deron Williams,Wrist
2011-02-02,Pistons,,Jason Maxiell,Back
2011-02-02,Rockets,,Jordan Hill,Ankle
2011-02-03,Bucks,,Chris Douglas-Roberts,Ankle
2011-02-03,Magic,,Brandon Bass,Ankle
2011-02-03,Raptors,,Linas Kleiza,Knee
2011-02-04,Celtics,,Shaquille O'Neal,"Leg
Ankle"
2011-02-04,Clippers,,Eric Gordon,Wrist
2011-02-04,Jazz,,Andrei Kirilenko,Ankle
